NodeID,PacketsSent,PacketsDropped,SendRate,EnqueueRatio,DropRatio,NodeType
1,113,49,13.5529,0.566372,0.433628,Normal
2,92,28,10.5501,0.695652,0.304348,Normal
3,146,82,19.4229,0.438356,0.561644,Normal
4,112,48,12.5612,0.571429,0.428571,Normal
5,106,42,12.5652,0.603774,0.396226,Normal
6,138,74,16.2128,0.463768,0.536232,Normal
7,87,23,11.613,0.735632,0.264368,Normal
8,134,70,14.6818,0.477612,0.522388,Normal
9,102,38,11.7502,0.627451,0.372549,Normal
10,136,72,19.0973,0.470588,0.529412,Normal
11,105,41,13.4465,0.609524,0.390476,Normal
12,104,40,13.0057,0.615385,0.384615,Normal
13,95,31,13.629,0.673684,0.326316,Normal
14,146,82,17.3413,0.438356,0.561644,Normal
15,87,23,12.7283,0.735632,0.264368,Normal
16,133,69,19.5558,0.481203,0.518797,Normal
17,122,58,15.3172,0.52459,0.47541,Normal
18,104,40,10.7566,0.615385,0.384615,Normal
19,78,14,10.6024,0.820513,0.179487,Normal
20,152,88,17.14,0.421053,0.578947,Normal
21,97,33,13.3466,0.659794,0.340206,Normal
22,77,13,10.1674,0.831169,0.168831,Normal
23,82,18,10.1766,0.780488,0.219512,Normal
24,135,71,17.6594,0.474074,0.525926,Normal
25,101,37,11.037,0.633663,0.366337,Normal
26,87,23,11.0246,0.735632,0.264368,Normal
27,110,46,11.4672,0.581818,0.418182,Normal
28,115,51,14.6035,0.556522,0.443478,Normal
29,74,10,10.63,0.864865,0.135135,Normal
30,71,7,10.2174,0.901408,0.0985915,Normal
31,155,92,18.3607,0.406452,0.593548,Normal
32,107,43,11.625,0.598131,0.401869,Normal
33,114,50,13.1622,0.561404,0.438596,Normal
34,78,14,10.503,0.820513,0.179487,Normal
35,113,49,12.0875,0.566372,0.433628,Normal
36,116,52,13.1719,0.551724,0.448276,Normal
37,121,58,16.5347,0.520661,0.479339,Normal
38,102,38,13.5178,0.627451,0.372549,Normal
39,141,77,17.3268,0.453901,0.546099,Normal
40,162,98,16.8063,0.395062,0.604938,Normal
41,82,18,10.1647,0.780488,0.219512,Normal
42,124,60,15.6302,0.516129,0.483871,Normal
43,116,52,14.9725,0.551724,0.448276,Normal
44,73,9,10.3804,0.876712,0.123288,Normal
45,105,41,14.6547,0.609524,0.390476,Normal
46,97,33,10.4983,0.659794,0.340206,Attacker
47,113,49,14.3106,0.566372,0.433628,Attacker
48,122,58,15.3714,0.52459,0.47541,Attacker
49,136,72,19.8088,0.470588,0.529412,Attacker
50,213,149,23.3838,0.300469,0.699531,Normal
51,133,128,15.5501,0.037594,0.962406,Normal
52,144,80,15.7855,0.444444,0.555556,Normal
53,92,91,12.523,0.0108696,0.98913,Normal
54,105,41,14.6351,0.609524,0.390476,Normal
55,157,93,17.1001,0.407643,0.592357,Normal
56,128,64,13.4824,0.5,0.5,Normal
57,94,30,12.948,0.680851,0.319149,Normal
58,96,32,10.3132,0.666667,0.333333,Normal
59,125,61,15.335,0.512,0.488,Normal
60,86,22,12.5469,0.744186,0.255814,Normal
61,148,84,16.3229,0.432432,0.567568,Normal
62,157,93,17.8479,0.407643,0.592357,Normal
63,80,16,10.8359,0.8,0.2,Normal
64,166,102,17.5048,0.385542,0.614458,Normal
65,140,76,17.6024,0.457143,0.542857,Normal
66,108,44,13.1461,0.592593,0.407407,Normal
67,97,33,11.5846,0.659794,0.340206,Normal
68,84,20,11.4647,0.761905,0.238095,Normal
69,110,46,12.0049,0.581818,0.418182,Normal
70,162,98,17.7387,0.395062,0.604938,Normal
71,76,12,10.6722,0.842105,0.157895,Normal
72,142,78,14.9359,0.450704,0.549296,Normal
73,172,108,18.9987,0.372093,0.627907,Normal
74,157,93,17.9407,0.407643,0.592357,Normal
75,112,48,12.0242,0.571429,0.428571,Normal
76,105,41,11.1503,0.609524,0.390476,Normal
77,98,34,10.351,0.653061,0.346939,Normal
78,119,55,17.5342,0.537815,0.462185,Normal
79,107,43,14.7631,0.598131,0.401869,Normal
80,125,61,17.6845,0.512,0.488,Normal
81,102,38,12.0896,0.627451,0.372549,Normal
82,147,83,15.6187,0.435374,0.564626,Normal
83,148,84,16.0543,0.432432,0.567568,Normal
84,98,34,10.2174,0.653061,0.346939,Normal
85,122,58,13.3832,0.52459,0.47541,Normal
86,189,125,20.074,0.338624,0.661376,Normal
87,126,62,17.9134,0.507937,0.492063,Normal
88,95,31,11.4012,0.673684,0.326316,Normal
89,124,60,13.8455,0.516129,0.483871,Normal
90,93,29,11.1494,0.688172,0.311828,Normal
91,122,58,15.5199,0.52459,0.47541,Normal
92,88,24,12.8294,0.727273,0.272727,Normal
93,91,27,13.4609,0.703297,0.296703,Normal
94,101,37,14.4783,0.633663,0.366337,Normal
95,112,48,13.122,0.571429,0.428571,Normal
96,90,26,11.1446,0.711111,0.288889,Normal
97,107,43,11.3622,0.598131,0.401869,Normal
98,128,64,15.4842,0.5,0.5,Normal
99,93,29,10.7332,0.688172,0.311828,Normal
100,161,97,18.8645,0.397516,0.602484,Normal
101,160,96,19.8908,0.4,0.6,Normal
102,80,16,10.4206,0.8,0.2,Normal
103,151,87,19.1689,0.423841,0.576159,Normal
104,89,25,10.339,0.719101,0.280899,Normal
